ISO3V10,Country_Territory_Island,CMR_latest,CMR_mean,CMR_std,CMR_trend,CMR_pct_change,WAT_latest,WAT_mean,WAT_std,WAT_trend,WAT_pct_change,SAN_latest,SAN_mean,SAN_std,SAN_trend,SAN_pct_change,CHI_v2023_latest,CHI_v2023_mean,CHI_v2023_std,CHI_v2023_trend,CHI_v2023_pct_change,NRPI_v2023_latest,NRPI_v2023_mean,NRPI_v2023_std,NRPI_v2023_trend,NRPI_v2023_pct_change,infra_gap,Homicide_per100k,WGI_GovEffect,WGI_RegQuality,WGI_Corruption,WGI_RuleLaw,WGI_PolStability,WGI_VoiceAccount,Cluster_DBSCAN
VCT,Saint Vincent and the Grenadines,1.16,1.5369230769230773,0.3244324432858253,-0.0820329670329669,-45.023696682464454,97.73,97.59076923076924,0.232287951275336,0.0480219780219833,0.7006697578567819,89.7,88.34538461538462,2.3311392614793007,0.4758241758241767,8.254887762490954,95.27,94.60307692307694,0.987576027582896,0.2120879120879162,3.184230477634569,,,,,,9.245384615384625,,,,,,,,1
WSM,Samoa,2.38,2.636923076923077,0.1645389829890683,-0.0416483516483516,-16.19718309859155,99.04,93.39384615384614,3.720287933439066,0.9508241758241798,11.821158405780755,97.93,95.77384615384616,1.3917467349913126,0.3573626373626418,4.581375480563868,97.89,95.17076923076924,1.7772847339807507,0.4551648351648375,5.530401034928843,24.91,24.53,0.4387862045841165,0.3039999999999976,3.146997929606632,-2.3800000000000097,,,,,,,,-1
SMR,San Marino,0.19,0.243076923076923,0.0428922322774601,-0.0108791208791208,-40.625,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.91,99.88769230769232,0.0200640001635794,0.0049999999999993,0.0600901352028064,,,,,,0.0,,,,,,,,2
STP,Sao Tome and Principe,3.33,5.006153846153846,1.767335746547792,-0.4266483516483515,-61.89931350114416,77.34,76.09307692307694,1.277363069082715,0.3156593406593437,4.796747967479684,47.84,41.03615384615385,5.022817168451617,1.2872527472527486,44.31372549019609,73.52,70.06538461538462,2.881014333484578,0.7307142857142882,13.194765204003067,,,,,,35.056923076923084,,,,,,,,0
SEN,Senegal,9.75,15.593846153846153,5.091955319360037,-1.285329670329669,-60.70133010882708,86.25,79.08000000000001,4.6817304493103835,1.20214285714286,20.07517750243631,60.18,53.86153846153846,4.125804661222355,1.059395604395605,26.77480514008848,77.64,70.44538461538461,5.26449525181762,1.346978021978023,25.936739659367404,45.0,44.71,0.3348631561299819,0.2319999999999903,1.305718144979735,25.21846153846155,,,,,,,,0
SRB,Serbia,0.75,0.8546153846153846,0.0987940099917824,-0.0246703296703296,-27.18446601941748,95.68,93.74384615384616,1.4359871080058402,0.3679670329670365,4.5683060109289695,97.91,97.39846153846156,0.5100138258558309,0.1268131868131906,1.450626878043717,97.52,96.65307692307692,0.6908857191483084,0.1763736263736276,2.0831152517533704,,,,,,-3.654615384615383,,,,,,,,1
SYC,Seychelles,1.96,2.0246153846153847,0.0340625367560375,-0.0040659340659339,-2.4875621890547177,96.42,95.88846153846154,0.4471361864474508,0.1137912087912104,1.324085750315264,100.0,99.09307692307692,0.7521234895878107,0.1881318681318709,2.1972406745017943,97.9,97.39307692307692,0.4038230762636999,0.1023076923076928,1.1990903452553348,,,,,,-3.20461538461538,,,,,,,,3
SLE,Sierra Leone,28.68,42.12538461538462,11.035873787625984,-2.7702197802197785,-52.45358090185677,65.34,58.50692307692308,4.440738273109148,1.140274725274726,26.50532429816071,22.92,17.638461538461538,3.273565452107346,0.8397802197802203,78.50467289719629,49.51,39.26461538461538,7.62516515163728,1.9390659340659349,83.50630096367678,38.59,38.735,0.1674315780649909,-0.1160000000000075,-0.7458847736625491,40.868461538461546,,,,,,,,0
SGP,Singapore,0.36,0.4838461538461539,0.0770863651517419,-0.0192857142857142,-37.93103448275862,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.83,99.77692307692304,0.0347334169987663,0.0087912087912109,0.100270730973623,,,,,,0.0,,,,,,,,2
SVK,Slovakia,1.01,1.0938461538461537,0.0700640732399591,-0.0177472527472526,-17.213114754098356,99.79,99.58692307692309,0.3761512243629482,0.0737362637362699,1.1863719326708595,97.54,97.67692307692307,0.2647761512228965,-0.0524725274725235,-0.7832367002339499,98.64,98.58,0.0679460570354649,0.0153846153846175,0.2337160857636459,,,,,,1.9099999999999968,,,,,,,,4
